Date,CP,B9,B6,B5,SampleID,Longitude,Latitude,TDN_based_ADF,B7,GEMI,B8A,B3,B1,EVI,B11,B4
2022-04-06,7.804520603,3987.0,3499.0,2182.0,56,-54.83924033,-20.44671567,59.92512136,3818.0,-3862811.33180982,3872.0,1682.0,1326.0,0.283425790305281,2876.0,1581.0
2022-04-06,7.78506766,3987.0,3499.0,2182.0,56,-54.83924033,-20.44671567,60.01880931,3818.0,-3862811.33180982,3872.0,1682.0,1326.0,0.283425790305281,2876.0,1581.0
2022-04-06,8.597778863,4129.0,3902.0,2214.0,57,-54.83974233,-20.44650433,53.65869286,4300.0,-7395035.085700852,4362.0,1771.0,1296.0,0.3804323501767891,3055.0,1516.0
2022-04-06,8.767578658,4129.0,3902.0,2214.0,57,-54.83974233,-20.44650433,53.8609648,4300.0,-7395035.085700852,4362.0,1771.0,1296.0,0.3804323501767891,3055.0,1516.0
2022-04-06,4.857827097,4017.0,3738.0,2120.0,58,-54.839105,-20.44705267,48.65361454,4112.0,-7405885.649845396,4252.0,1638.0,1365.0,0.3903964201709597,2891.0,1385.0
2022-04-06,4.78858098,4017.0,3738.0,2120.0,58,-54.839105,-20.44705267,50.59093738,4112.0,-7405885.649845396,4252.0,1638.0,1365.0,0.3903964201709597,2891.0,1385.0
2022-04-06,7.800289068,4246.0,3885.0,2186.0,59,-54.838734,-20.44613667,53.16082172,4257.0,-6073204.507418062,4275.0,1734.0,1306.0,0.3500943053220015,2911.0,1511.0
2022-04-06,7.880248611,4246.0,3885.0,2186.0,59,-54.838734,-20.44613667,55.70141032,4257.0,-6073204.507418062,4275.0,1734.0,1306.0,0.3500943053220015,2911.0,1511.0
2022-04-06,3.882340283,4025.0,3656.0,2133.0,60,-54.83909767,-20.447101,42.25234896,4037.0,-8164595.160330427,4215.0,1669.0,1371.0,0.401598525130119,2990.0,1451.0
2022-04-06,3.785281776,4025.0,3656.0,2133.0,60,-54.83909767,-20.447101,42.33528657,4037.0,-8164595.160330427,4215.0,1669.0,1371.0,0.401598525130119,2990.0,1451.0
2022-08-03,4.370941203,3469.0,3209.0,2740.0,61,-54.838977,-20.44698433,53.45224519,3389.0,-1339686.4179930163,3614.0,1845.0,1438.0,0.1534522787265846,3652.0,2267.0
